amenity_id,station_id,type,icon,map_id
1,5198,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11759
1,6171,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11760
2,6171,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11761
1,6508,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11764
1,6509,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11765
1,6511,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11769
2,6511,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11770
1,6513,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11772
2,6513,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11773
1,6514,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11774
2,6514,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11775
2,6517,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11777
3,6517,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11854
1,6520,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11782
1,6521,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11783
1,6522,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11784
1,6523,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11785
1,6524,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11786
1,6525,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11787
1,6526,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11788
1,6528,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11789
2,6528,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11790
1,6529,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11791
2,6529,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11792
1,6530,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11793
2,6530,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11794
2,6531,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11795
1,6531,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11796
1,6532,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11797
2,6532,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11798
1,6533,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11799
2,6533,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11800
1,6534,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11801
2,6534,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11802
1,6535,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11803
2,6535,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11804
1,6536,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11805
2,6536,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11806
1,6537,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11807
2,6537,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11808
1,6538,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11809
2,6538,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11810
2,6541,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11815
1,6542,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11816
