charger_id,station_id,charger_name,type,power_rating_kw,price,currency,symbol,price_display,last_used_on,connector_count,available_connector_count
63484,12100,TCZ MH | Pune | Kundan Hyundai Chinchwad 1,DC,120.0,21.5,INR,₹,₹ 21.5,19/05/2026,2,0
63485,12101,TCZ HR | Kharawar | Milan Dhaba 1,DC,120.0,22.0,INR,₹,₹ 22.0,20/05/2026,2,0
63487,12102,TCZ KA | Chatnalli | Vintage Retreat Resort 1,DC,120.0,22.0,INR,₹,₹ 22.0,12/05/2026,2,2
63486,12103,TCZ TS | Pullur | Lepakshi Multicuisine Restaurant 1,DC,120.0,22.0,INR,₹,₹ 22.0,21/05/2026,2,0
63490,12103,TCZ TS | Pullur | Lepakshi Multicuisine Restaurant 2,DC,120.0,22.0,INR,₹,₹ 22.0,21/05/2026,2,0
63497,12103,TCZ TS | Pullur | Lepakshi Multicuisine Restaurant 3,DC,480.0,22.0,INR,₹,₹ 22.0,21/05/2026,2,0
63488,12104,TCZ BR | Purana Garahatha | Manmato Restaurant 1,DC,120.0,22.0,INR,₹,₹ 22.0,20/05/2026,2,1
63489,12105,TCZ KA | Belagavi | Hotel Ramdev 1,DC,30.0,21.0,INR,₹,₹ 21.0,,1,0
63495,12105,TCZ KA | Belagavi | Hotel Ramdev 2,DC,240.0,22.0,INR,₹,₹ 22.0,20/05/2026,2,1
63499,12105,TCZ KA | Belagavi | Hotel Ramdev 3,DC,120.0,22.0,INR,₹,₹ 22.0,20/05/2026,2,0
63491,12106,TCZ MH | Warul | Hotel Nagraj's Majestic 1,DC,120.0,22.0,INR,₹,₹ 22.0,16/05/2026,2,1
63492,12107,TCZ KA | Kittur | Hotel Gajaraj Palace 1,DC,120.0,22.0,INR,₹,₹ 22.0,20/05/2026,2,0
63493,12108,TCZ AP | Vizag | Mango Hyundai 1,DC,120.0,21.5,INR,₹,₹ 21.5,09/03/2026,2,0
63494,12109,TCZ TS | Amruthapur | Sri Sai Family 1,DC,120.0,22.0,INR,₹,₹ 22.0,19/05/2026,2,2
63496,12110,TCZ HR | Titram | Kush Farm Family Restaurant 1,DC,120.0,22.0,INR,₹,₹ 22.0,20/05/2026,2,0
63498,12111,TCZ CG | Raipur | Mangalam Hyundai W5217 1,DC,120.0,22.0,INR,₹,₹ 22.0,21/05/2026,2,2
63500,12112,TCZ TN | Sriperumbudur | Pondur - Oragadam 1,DC,240.0,22.5,INR,₹,₹ 22.5,06/05/2026,2,0
63502,12112,TCZ TN | Sriperumbudur | Pondur - Oragadam 2,DC,480.0,22.5,INR,₹,₹ 22.5,21/05/2026,2,1
