station_id,connector_type_id,connector_name,connector_image_url
10447,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10451,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10451,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10452,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10453,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10453,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10454,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10455,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10455,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10463,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10467,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10468,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10469,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10470,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10471,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10473,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10476,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10477,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10478,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10479,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10480,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10481,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10482,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10485,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10486,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10487,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10488,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10489,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10490,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10491,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10492,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10493,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10494,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10495,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10496,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10497,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10500,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10501,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10502,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10506,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10510,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10511,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10512,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10513,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10514,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10515,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10516,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10517,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10518,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10519,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10520,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10521,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10527,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10529,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10530,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10531,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10532,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10532,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10534,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10535,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10535,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10536,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10536,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10537,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10538,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10538,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10539,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10540,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
