connector_id,charger_id,station_id,display_id,connector_type,connector_type_id,availability,connector_status,error_message,connector_image
14479,55893,7865,2,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14395,55850,7866,1,CCS-2,1,False,faulted,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14488,55898,7867,1,CCS-2,1,False,preparing,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
16201,57060,7867,1,CCS-2,1,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
16202,57060,7867,2,CCS-2,1,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14485,55896,7869,1,CCS-2,1,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14486,55896,7869,2,CCS-2,1,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14487,55897,7870,1,CCS-2,1,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14493,55901,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14495,55902,7872,1,CCS-2,1,False,unavailable,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14497,55903,7872,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14499,55904,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14501,55905,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14503,55906,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14504,55907,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14505,55908,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14506,55909,7872,1,CCS-2,1,False,finishing,Finished,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14507,55910,7872,1,CCS-2,1,False,finishing,Finished,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14508,55911,7872,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14509,55912,7872,1,CCS-2,1,False,unavailable,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14510,55913,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14511,55914,7872,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14512,55915,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14516,55918,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14517,55918,7872,2,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14520,55920,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14521,55920,7872,2,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
21803,60582,7872,1,GBT,6,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/dc-001.png
21804,60582,7872,2,GBT,6,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/dc-001.png
26499,63562,7872,1,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
26500,63562,7872,2,CCS-2,1,False,charging,Charging,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14513,55916,7872,1,Type-2,3,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
14527,55925,7877,1,Wall,5,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
14536,55934,7886,1,Wall,5,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
14537,55935,7887,1,Wall,5,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
33748,68535,7888,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
33749,68535,7888,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14538,55936,7888,1,Wall,5,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
34082,68728,7889,1,CCS-2,1,False,faulted,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
34083,68728,7889,2,CCS-2,1,False,faulted,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14539,55937,7889,1,Wall,5,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
33746,68534,7890,1,CCS-2,1,False,faulted,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
33747,68534,7890,2,CCS-2,1,False,faulted,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
14540,55938,7890,1,Wall,5,False,available,Disconnected,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
