station_id,station_name,address,latitude,longitude,access_type,is_community_listed,map_pin_url,focused_map_pin_url
10774,LAXMA REDDY SERVICE STAT,,18.565526,79.160757,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10775,Opp. IIIT beside TCS main Gate Gachibowli,,17.450949,78.34648,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/normal+pin.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+selected.png
10776,Kannan Agencies,,8.36573,77.601459,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10777,SRI LAXMI VENKATESHWARA FILLING STN,,18.819941,78.424744,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10778,SRI SOMESHWARA FILLING STATION,,17.567723,79.670964,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10780,Arumugam Agency,,8.711531,77.639668,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10781,PAUL PETRO,,28.83115,77.13085,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10783,MSP Fuels,,8.73428,77.99053,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10784,Priya Agencies,,9.164186,77.537057,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10785,M/s. VRAJ PETROLEUM,,22.98643,72.405536,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
